osmid,rainfall_mm
745290609,0.0
75392706,0.0
480748364,0.0
174552486,0.0
766813091,0.0
121882988,0.0
16679084,0.0
538836490,0.0
480691078,0.0
173767692,0.0
540865016,0.0
633149676,0.0
173954647,0.0
173954651,0.0
474187781,0.0
654849770,0.0
149654648,0.0
481676023,0.0
697949634,0.0
22982175,0.0
539598544,0.0
633179142,0.0
481674702,0.0
465041042,0.0
635477952,0.0
539382322,0.0
16680024,0.0
632498625,0.0
535366465,0.0
74809489,0.0
74859236,0.0
175020577,0.0
480894181,0.0
658222354,0.0
636856262,0.0
480894185,0.0
157566901,0.0
75394080,0.0
74809475,0.0
173767658,0.0
74860015,0.0
74860014,0.0
174402277,0.0
174778942,0.0
75061885,0.0
44584681,0.0
481669052,0.0
46649285,0.0
481666057,0.0
660497102,0.0
479172001,0.0
22933276,0.0
46649280,0.0
121898691,0.0
479311928,0.0
14458224,0.0
16685932,0.0
37354396,0.0
173767785,0.0
51511352,0.0
51511350,0.0
16688065,0.0
173767590,0.0
763970856,0.0
649336169,0.0
21805102,0.0
764082544,0.0
539313780,0.0
358462413,0.0
474181788,0.0
481655194,0.0
464288928,0.0
464288921,0.0
265150724,0.0
728837249,0.0
666579802,0.0
747799101,0.0
632259560,0.0
632259562,0.0
666579800,0.0
660072237,0.0
632262729,0.0
632262730,0.0
666581371,0.0
632264762,0.0
666582864,0.0
633326086,0.0
666574535,0.0
666582863,0.0
23513314,0.0
660072247,0.0
666826356,0.0
475134296,0.0
666561161,0.0
475134298,0.0
632827532,0.0
632266059,0.0
479300516,0.0
666036825,0.0
654854651,0.0
74750872,0.0
660071500,0.0
666018279,0.0
660071185,0.0
666564288,0.0
639994433,0.0
660071012,0.0
475136316,0.0
632249196,0.0
660071013,0.0
666814409,0.0
476106529,0.0
666824709,0.0
666814496,0.0
666814340,0.0
666035574,0.0
632255676,0.0
666035577,0.0
666009473,0.0
23513601,0.0
660070878,0.0
632258752,0.0
660070608,0.0
23513331,0.0
632262913,0.0
660070609,0.0
666800233,0.0
475136319,0.0
666005314,0.0
75521621,0.0
585630278,0.0
22697937,0.0
475136320,0.0
740832645,0.0
74483192,0.0
476986391,0.0
22382091,0.0
633184722,0.0
635487024,0.0
475132223,0.0
155954288,0.0
666560850,0.0
22384616,0.0
585711240,0.0
22718367,0.0
476719988,0.0
475132225,0.0
709844931,0.0
475132224,0.0
74914974,0.0
649763170,0.0
747788808,0.0
172065637,0.0
747796377,0.0
22291137,0.0
655192135,0.0
478116171,0.0
638244436,0.0
630391722,0.0
152301690,0.0
478124388,0.0
478165029,0.0
478167911,0.0
478124387,0.0
74859238,0.0
673761075,0.0
478126497,0.0
22964467,0.0
173767980,0.0
651012716,0.0
173166902,0.0
74859232,0.0
173767657,0.0
74859233,0.0
633806897,0.0
22964193,0.0
23513315,0.0
666008790,0.0
632461800,0.0
666011232,0.0
632462706,0.0
632463701,0.0
666011792,0.0
474665416,0.0
476106531,0.0
632503610,0.0
465468224,0.0
23513323,0.0
476106532,0.0
538747195,0.0
23513304,0.0
19804917,0.0
22697939,0.0
465452246,0.0
21694895,0.0
74497755,0.0
175878999,0.0
465585628,0.0
75521631,0.0
474181789,0.0
74527400,0.0
173792007,0.0
173791984,0.0
661671265,0.0
74731116,0.0
480890497,0.0
480890495,0.0
21677610,0.0
480890496,0.0
480488522,0.0
538223049,0.0
480231141,0.0
825701984,0.0
630439201,0.0
480231138,0.0
75120042,0.0
480890494,0.0
538223047,0.0
538223042,0.0
466004249,0.0
781728499,0.0
465226133,0.0
639350277,0.0
448937505,0.0
654996323,0.0
173166861,0.0
465314273,0.0
22384684,0.0
388180802,0.0
481678433,0.0
665468544,0.0
481678433,0.0
655171480,0.0
121874809,0.0
661625384,0.0
667066714,0.0
655171481,0.0
75114256,0.0
22811728,0.0
481678436,0.0
480689016,0.0
639596836,0.0
633864000,0.0
542342039,0.0
542342035,0.0
173779715,0.0
763525866,0.0
635685828,0.0
649339177,0.0
480250098,0.0
634743817,0.0
21677615,0.0
74722816,0.0
174407832,0.0
174035882,0.0
633408424,0.0
480243156,0.0
480243155,0.0
176296657,0.0
630172987,0.0
480428608,0.0
746654379,0.0
782271710,0.0
448937506,0.0
75141904,0.0
465226141,0.0
685416464,0.0
173779703,0.0
585630295,0.0
538223029,0.0
693442241,0.0
479303220,0.0
758837414,0.0
651839970,0.0
74722796,0.0
778765024,0.0
585630290,0.0
538223031,0.0
585630293,0.0
75058598,0.0
480231137,0.0
