Location,Latitude,Longitude
choa chu kang ave 1 & ave 7,1.3768504,103.7460629
Bukit Ho Swee Link,1.2864183,103.8283442
airport road,1.3373135,103.8963092
Hillview Link,1.3617504,103.7644963
Zion road,1.2911286,103.8327029
NUH Medical Drive,1.2959976,103.7821712
Dawson Rd,1.2936982,103.8104291
hougang ave 5 (Silver zone),1.3666945,103.8968258
bukit ho swee link 2,1.2863928,103.8283482
jalan eunos,1.3264156,103.9055023
jurong west ave 5,1.3508775,103.7028586
Marymount Rd & Shunfu Rd,1.3513643,103.8399902
bukit batok west ave 8,1.3585954,103.7422582
TPE exit to Punggol Rd,1.3975642,103.9034576
